class_id,predict_date,predict_quantity
103507,201711,1441
124140,201711,864
125403,201711,2322
136916,201711,3890
169673,201711,179
175962,201711,409
178529,201711,451
186250,201711,343
194201,201711,535
194450,201711,1153
198427,201711,125
206765,201711,5507
209945,201711,514
219195,201711,176
221795,201711,1249
245609,201711,428
248352,201711,849
249875,201711,514
250658,201711,399
265980,201711,2688
270690,201711,6072
281301,201711,1111
281792,201711,1816
289386,201711,598
289403,201711,417
290854,201711,994
291086,201711,1495
291514,201711,0
302513,201711,27
304458,201711,2803
308913,201711,911
321683,201711,5888
340175,201711,145
347384,201711,12111
348641,201711,686
349023,201711,3679
350259,201711,763
354068,201711,2946
356986,201711,1853
359378,201711,21
360648,201711,1801
376193,201711,148
378356,201711,633
378536,201711,267
379265,201711,374
379876,201711,787
384924,201711,3692
392593,201711,325
395234,201711,498
401052,201711,660
409854,201711,3698
412240,201711,90
416749,201711,797
417803,201711,0
425432,201711,4828
436105,201711,2253
437063,201711,92
437598,201711,276
453752,201711,294
468392,201711,1471
472603,201711,697
475895,201711,197
481950,201711,202
482497,201711,624
492952,201711,295
496459,201711,636
501564,201711,215
510309,201711,67
516750,201711,550
526401,201711,682
527765,201711,0
527809,201711,96
540712,201711,1374
559132,201711,982
560265,201711,2125
569154,201711,302
576298,201711,938
580470,201711,2408
580634,201711,622
587678,201711,769
591790,201711,821
597927,201711,1894
603972,201711,1950
612523,201711,97
614059,201711,919
619401,201711,402
621073,201711,5667
628041,201711,1226
649213,201711,217
651347,201711,970
651782,201711,210
653436,201711,244
654134,201711,2893
671482,201711,458
682651,201711,1643
683364,201711,63
687270,201711,776
692703,201711,897
693436,201711,436
713651,201711,939
714150,201711,289
714152,201711,691
714860,201711,1339
725137,201711,198
732758,201711,332
735971,201711,9768
736094,201711,832
739296,201711,12609
741152,201711,1165
743957,201711,701
745137,201711,2606
750340,201711,157
760412,201711,76
786351,201711,1474
789290,201711,92
810398,201711,165
815230,201711,335
819061,201711,1221
842246,201711,322
851857,201711,331
854079,201711,672
854548,201711,120
861459,201711,422
871642,201711,1324
872180,201711,444
883691,201711,265
890189,201711,1706
905061,201711,371
905745,201711,1753
914348,201711,1183
923841,201711,2122
924154,201711,1483
948936,201711,79
950264,201711,2365
953842,201711,1470
961362,201711,0
961962,201711,157
963845,201711,779
973106,201711,174
978089,201711,762
