predict_date,class_id,predict_quantity
201711,103507,266.0
201711,124140,228.0
201711,125403,192.0
201711,136916,145.0
201711,169673,151.0
201711,175962,178.0
201711,178529,188.0
201711,186250,355.0
201711,194201,922.0
201711,194450,268.0
201711,198427,105.0
201711,206765,1914.0
201711,209945,196.0
201711,219195,144.0
201711,221795,404.0
201711,245609,121.0
201711,248352,242.0
201711,249875,145.0
201711,250658,187.0
201711,265980,254.0
201711,270690,746.0
201711,281301,553.0
201711,281792,404.0
201711,289386,375.0
201711,289403,312.0
201711,290854,253.0
201711,291086,452.0
201711,291514,58.0
201711,302513,138.0
201711,304458,555.0
201711,308913,98.0
201711,321683,2195.0
201711,340175,145.0
201711,347384,4420.0
201711,348641,355.0
201711,349023,937.0
201711,350259,616.0
201711,354068,580.0
201711,356986,450.0
201711,359378,151.0
201711,360648,111.0
201711,376193,244.0
201711,378356,426.0
201711,378536,109.0
201711,379265,227.0
201711,379876,113.0
201711,384924,738.0
201711,392593,174.0
201711,395234,97.0
201711,401052,118.0
201711,409854,1687.0
201711,412240,66.0
201711,416749,222.0
201711,417803,0.0
201711,425432,1807.0
201711,436105,420.0
201711,437063,92.0
201711,437598,83.0
201711,453752,250.0
201711,468392,196.0
201711,472603,78.0
201711,475895,108.0
201711,481950,130.0
201711,482497,245.0
201711,492952,178.0
201711,496459,436.0
201711,501564,130.0
201711,510309,96.0
201711,516750,53.0
201711,526401,382.0
201711,527765,50.0
201711,527809,159.0
201711,540712,337.0
201711,559132,143.0
201711,560265,137.0
201711,569154,366.0
201711,576298,357.0
201711,580470,493.0
201711,580634,206.0
201711,587678,226.0
201711,591790,220.0
201711,597927,201.0
201711,603972,446.0
201711,612523,97.0
201711,614059,418.0
201711,619401,398.0
201711,621073,1353.0
201711,628041,685.0
201711,649213,107.0
201711,651347,166.0
201711,651782,109.0
201711,653436,423.0
201711,654134,456.0
201711,671482,81.0
201711,682651,311.0
201711,683364,81.0
201711,687270,776.0
201711,692703,633.0
201711,693436,144.0
201711,713651,289.0
201711,714150,289.0
201711,714152,573.0
201711,714860,123.0
201711,725137,198.0
201711,732758,176.0
201711,735971,2511.0
201711,736094,225.0
201711,739296,1056.0
201711,741152,649.0
201711,743957,688.0
201711,745137,826.0
201711,750340,87.0
201711,760412,68.0
201711,786351,120.0
201711,789290,92.0
201711,810398,116.0
201711,815230,182.0
201711,819061,196.0
201711,842246,322.0
201711,851857,157.0
201711,854079,155.0
201711,854548,120.0
201711,861459,422.0
201711,871642,210.0
201711,872180,444.0
201711,883691,310.0
201711,890189,1374.0
201711,905061,372.0
201711,905745,216.0
201711,914348,569.0
201711,923841,638.0
201711,924154,1078.0
201711,948936,162.0
201711,950264,1236.0
201711,953842,1044.0
201711,961362,113.0
201711,961962,97.0
201711,963845,210.0
201711,973106,174.0
201711,978089,384.0
